City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Anadyr,RU,64.75,177.4833,45.1,56,20,22.37,few clouds
80,Tautira,PF,-17.7333,-149.15,75.11,74,95,22.95,overcast clouds
81,Vaini,TO,-21.2,-175.2,76.62,78,67,13.6,broken clouds
82,Poya,NC,-21.35,165.15,72.59,88,46,3.22,scattered clouds
83,Cayenne,GF,4.9333,-52.3333,84.24,7,0,6.91,clear sky
84,Luderitz,NA,-26.6481,15.1594,56.88,76,0,8.95,clear sky
85,Sola,VU,-13.8833,167.55,79.21,78,24,6.49,few clouds
86,Bichura,RU,50.5881,107.6022,49.37,77,22,1.92,few clouds
87,Harunabad,PK,29.6133,73.1389,86.85,69,100,7.45,overcast clouds
88,Hilo,US,19.7297,-155.09,89.28,70,100,7.0,overcast clouds
89,Salalah,OM,17.0151,54.0924,76.3,94,95,7.09,overcast clouds
90,Bluff,NZ,-46.6,168.3333,33.8,64,45,19.35,scattered clouds
91,Norman Wells,CA,65.282,-126.8329,63.7,52,100,6.04,overcast clouds
92,Isangel,VU,-19.55,169.2667,78.01,77,5,4.88,clear sky
93,Namatanai,PG,-3.6667,152.4333,78.76,81,95,6.44,overcast clouds
94,Barrow,US,71.2906,-156.7887,44.62,70,100,5.75,overcast clouds
95,Gannan,CN,47.9147,123.5031,55.65,60,0,8.86,clear sky
96,Parrita,CR,9.5201,-84.3225,81.99,77,99,5.3,overcast clouds
97,Alta Floresta,BR,-9.8756,-56.0861,83.93,52,76,2.86,broken clouds
98,Saint-Augustin,CA,51.226,-58.6502,73.54,73,100,22.15,overcast clouds
99,Khatanga,RU,71.9667,102.5,51.22,81,64,7.25,broken clouds
100,Sao Filipe,CV,14.8961,-24.4956,79.79,83,93,5.01,light rain
101,Nikolskoye,RU,59.7035,30.7861,57.09,79,11,3.65,few clouds
102,Kununurra,AU,-15.7667,128.7333,67.98,77,75,3.44,broken clouds
103,Santa Rosa,PH,14.3122,121.1114,76.98,95,100,2.3,light rain
104,Geraldton,AU,-28.7667,114.6,52.21,93,100,12.66,overcast clouds
105,Clyde River,CA,70.4692,-68.5914,42.73,79,99,4.85,overcast clouds
106,Ushuaia,AR,-54.8,-68.3,38.86,60,0,4.61,clear sky
107,Avera,US,33.194,-82.5271,86.38,49,95,6.24,overcast clouds
108,Pishva,IR,35.308,51.7267,93.76,15,57,9.73,broken clouds
109,Souillac,MU,-20.5167,57.5167,69.04,81,13,7.9,few clouds
110,Thompson,CA,55.7435,-97.8558,75.6,39,86,13.35,overcast clouds
111,Kultuk,RU,51.7208,103.6956,49.93,90,61,3.91,broken clouds
112,Hithadhoo,MV,-0.6,73.0833,81.82,70,100,4.43,overcast clouds
113,Narsaq,GL,60.9167,-46.05,53.82,65,3,1.66,clear sky
114,Pervomayskoye,RU,43.919,46.7102,71.49,76,91,4.5,overcast clouds
115,Igrim,RU,63.1906,64.4162,65.98,67,5,5.21,clear sky
116,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,91.8,23,96,4.68,overcast clouds
117,Yarmouth,US,41.7057,-70.2286,90.07,71,0,23.02,clear sky
118,Ulladulla,AU,-35.35,150.4667,46.49,88,44,8.59,scattered clouds
119,Necochea,AR,-38.5473,-58.7368,43.66,70,99,6.98,overcast clouds
120,Bathsheba,BB,13.2167,-59.5167,84.81,90,75,5.75,broken clouds
121,Vanino,RU,49.0869,140.2543,63.05,99,100,7.49,moderate rain
122,Northam,GB,51.0333,-4.2167,62.38,85,0,5.19,clear sky
123,Rocha,UY,-34.4833,-54.3333,45.3,84,91,6.22,overcast clouds
124,Puerto Ayora,EC,-0.7393,-90.3518,76.96,88,62,5.01,broken clouds
125,Yakeshi,CN,49.2833,120.7333,47.71,75,0,10.18,clear sky
126,Avarua,CK,-21.2078,-159.775,75.25,57,40,20.71,scattered clouds
127,Okhotsk,RU,59.3833,143.3,54.3,87,100,9.28,overcast clouds
